name,version,license,homepage
"@typescript-eslint/eslint-plugin","7.18.0","MIT","https://typescript-eslint.io/packages/eslint-plugin"
"@typescript-eslint/parser","7.18.0","BSD-2-Clause","https://typescript-eslint.io/packages/parser"
"@typescript-eslint/scope-manager","7.18.0","MIT","https://typescript-eslint.io/packages/scope-manager"
"@typescript-eslint/type-utils","7.18.0","MIT","https://typescript-eslint.io"
"@typescript-eslint/types","7.18.0","MIT","https://typescript-eslint.io"
"@typescript-eslint/typescript-estree","7.18.0","BSD-2-Clause","https://typescript-eslint.io/packages/typescript-estree"
"@typescript-eslint/utils","7.18.0","MIT","https://typescript-eslint.io/packages/utils"
"@typescript-eslint/visitor-keys","7.18.0","MIT","https://typescript-eslint.io"
"@uiw/codemirror-extensions-basic-setup","4.25.11","MIT","https://uiwjs.github.io/react-codemirror/#/extensions/basic-setup"
"@uiw/react-codemirror","4.25.11","MIT","https://uiwjs.github.io/react-codemirror"
"@ungap/structured-clone","1.3.0","ISC","https://github.com/ungap/structured-clone#readme"
"@webassemblyjs/ast","1.14.1","MIT","https://github.com/xtuc/webassemblyjs#readme"
"@webassemblyjs/floating-point-hex-parser","1.13.2","MIT","https://github.com/xtuc/webassemblyjs#readme"
"@webassemblyjs/helper-api-error","1.13.2","MIT","https://github.com/xtuc/webassemblyjs#readme"
"@webassemblyjs/helper-buffer","1.14.1","MIT","https://github.com/xtuc/webassemblyjs#readme"
"@webassemblyjs/helper-numbers","1.13.2","MIT","https://github.com/xtuc/webassemblyjs#readme"
"@webassemblyjs/helper-wasm-bytecode","1.13.2","MIT","https://github.com/xtuc/webassemblyjs#readme"
"@webassemblyjs/helper-wasm-section","1.14.1","MIT","https://github.com/xtuc/webassemblyjs#readme"
"@webassemblyjs/ieee754","1.13.2","MIT","https://github.com/xtuc/webassemblyjs#readme"
"@webassemblyjs/leb128","1.13.2","Apache-2.0","https://github.com/xtuc/webassemblyjs#readme"
"@webassemblyjs/utf8","1.13.2","MIT","https://github.com/xtuc/webassemblyjs#readme"
"@webassemblyjs/wasm-edit","1.14.1","MIT","https://github.com/xtuc/webassemblyjs#readme"
"@webassemblyjs/wasm-gen","1.14.1","MIT","https://github.com/xtuc/webassemblyjs#readme"
"@webassemblyjs/wasm-opt","1.14.1","MIT","https://github.com/xtuc/webassemblyjs#readme"
"@webassemblyjs/wasm-parser","1.14.1","MIT","https://github.com/xtuc/webassemblyjs#readme"
"@webassemblyjs/wast-printer","1.14.1","MIT","https://github.com/xtuc/webassemblyjs#readme"
"@webgpu/types","0.1.38","BSD-3-Clause","https://github.com/gpuweb/types"
"@xmldom/xmldom","0.9.12","MIT","https://github.com/xmldom/xmldom"
"@xtuc/ieee754","1.2.0","BSD-3-Clause","https://github.com/feross/ieee754#readme"
"@xtuc/long","4.2.2","Apache-2.0","https://github.com/dcodeIO/long.js#readme"
"abbrev","1.1.1","ISC","https://github.com/isaacs/abbrev-js#readme"
